model,dataset,metric,method,prr_score
Llama 3.1 8B,gsm8k,Accuracy,MSP,0.32438775939605236
Llama 3.1 8B,gsm8k,Accuracy,MSP-LINE,0.3289008153868432
Llama 3.1 8B,gsm8k,Accuracy,PPL,0.3026300309614496
Llama 3.1 8B,gsm8k,Accuracy,PPL-LINE,0.37653641156208906
Llama 3.1 8B,gsm8k,Accuracy,MTE,0.33931452617747204
Llama 3.1 8B,gsm8k,Accuracy,MTE-LINE,0.3997649935452184
Llama 3.1 8B,gsm8k,Accuracy,MCSE,0.3511727186143658
Llama 3.1 8B,gsm8k,Accuracy,MCSE-LINE,0.3515094977776327
Llama 3.1 8B,gsm8k,Accuracy,MCNSE,0.34277015063985594
Llama 3.1 8B,gsm8k,Accuracy,MCNSE-LINE,0.36061847500291094
Llama 3.1 8B,gsm8k,Accuracy,LSRL,0.3632396053349672
Llama 3.1 8B,gsm8k,Accuracy,LSRL-LINE,0.36025044605404133
Gemma 2 9B,gsm8k,Accuracy,MSP,0.3028441948367712
Gemma 2 9B,gsm8k,Accuracy,MSP-LINE,0.29640197245242805
Gemma 2 9B,gsm8k,Accuracy,PPL,0.24825509077116434
Gemma 2 9B,gsm8k,Accuracy,PPL-LINE,0.3575625068090862
Gemma 2 9B,gsm8k,Accuracy,MTE,0.29151407538513324
Gemma 2 9B,gsm8k,Accuracy,MTE-LINE,0.39864326780718773
Gemma 2 9B,gsm8k,Accuracy,MCSE,0.3932644724525617
Gemma 2 9B,gsm8k,Accuracy,MCSE-LINE,0.3992569538440846
Gemma 2 9B,gsm8k,Accuracy,MCNSE,0.3560989881486637
Gemma 2 9B,gsm8k,Accuracy,MCNSE-LINE,0.3713660427477068
Gemma 2 9B,gsm8k,Accuracy,LSRL,0.39424192349781356
Gemma 2 9B,gsm8k,Accuracy,LSRL-LINE,0.3902422167322898
Llama 3.1 8B,xsum,Align Score,MSP,0.3276031491916531
Llama 3.1 8B,xsum,Align Score,MSP-LINE,0.3569117069389606
Llama 3.1 8B,xsum,Align Score,PPL,0.36913732454561765
Llama 3.1 8B,xsum,Align Score,PPL-LINE,0.3656224558535681
Llama 3.1 8B,xsum,Align Score,MTE,0.35693043645231126
Llama 3.1 8B,xsum,Align Score,MTE-LINE,0.3504080603081344
Llama 3.1 8B,xsum,Align Score,MCSE,0.03256961650775154
Llama 3.1 8B,xsum,Align Score,MCSE-LINE,0.04254929243148202
Llama 3.1 8B,xsum,Align Score,MCNSE,0.023595555329887764
Llama 3.1 8B,xsum,Align Score,MCNSE-LINE,0.02949714116970852
Llama 3.1 8B,xsum,Align Score,LSRL,0.08802745862439594
Llama 3.1 8B,xsum,Align Score,LSRL-LINE,0.09873719595962942
Gemma 2 9B,xsum,Align Score,MSP,0.3507311045057958
Gemma 2 9B,xsum,Align Score,MSP-LINE,0.37771963208948794
Gemma 2 9B,xsum,Align Score,PPL,0.3540892065794288
Gemma 2 9B,xsum,Align Score,PPL-LINE,0.3725501067223861
Gemma 2 9B,xsum,Align Score,MTE,0.3332207892589499
Gemma 2 9B,xsum,Align Score,MTE-LINE,0.35601917569453895
Gemma 2 9B,xsum,Align Score,MCSE,0.0030731246183665554
Gemma 2 9B,xsum,Align Score,MCSE-LINE,0.032228773943903624
Gemma 2 9B,xsum,Align Score,MCNSE,0.016304873803436013
Gemma 2 9B,xsum,Align Score,MCNSE-LINE,0.032193711322026065
Gemma 2 9B,xsum,Align Score,LSRL,0.04407750343902802
Gemma 2 9B,xsum,Align Score,LSRL-LINE,0.08527331029921499
